IST Url,IST Title,OPB Url,Amazon URL,Target URL,Retail Price,OPB Status,OPB Current Price,IST Status,IST Current Price,Amazon Status,Amazon Current Price,Target Status,Target Current Price,Min Current Price,All time Low Price,Target Doc Name,Last Updated
https://www.instocktrades.com/products/mar170450/absolute-y-the-last-man-hc-vol-03-(mr),Absolute Y the Last Man HC Vol 03 (MR),,,,,,,,,,,,,,,,
https://www.instocktrades.com/products/dec170241/action-comics-80-years-of-superman-hc,Action Comics 80 Years of Superman HC,,,,,,,,,,,,,,,,
https://www.instocktrades.com/products/nov227205/adam-strange-between-two-worlds-the-deluxe-edition-hc,Adam Strange Between Two Worlds the Deluxe Edition HC,,,,,,,,,,,,,,,,
https://www.instocktrades.com/products/jun160349/adventures-of-supergirl-tp,Adventures of Supergirl TP,,,,,,,,,,,,,,,,
https://www.instocktrades.com/products/sep217206/all-star-superman-the-deluxe-edition-hc,All Star Superman the Deluxe Edition HC,,,,,,,,,,,,,,,,
https://www.instocktrades.com/products/aug180593/all-star-superman-tp-black-label,All Star Superman TP Black Label,,,,,,,,,,,,,,,,
https://www.instocktrades.com/products/sep207098/amazing-world-of-superman-(tabloid-edition)-hc,Amazing World of Superman (Tabloid Edition) HC,,,,,,,,,,,,,,,,
https://www.instocktrades.com/products/jul217159/american-vampire-1976-hc-(mr),American Vampire 1976 HC (MR),https://organicpricedbooks.com/collections/dc-comics/products/american-vampire-1976-hc-mr,,,,,,,,,,,,,,,
https://www.instocktrades.com/products/jul227217/american-vampire-1976-tp-(mr),American Vampire 1976 TP (MR),,,,,,,,,,,,,,,,
https://www.instocktrades.com/products/jun227198/american-vampire-omnibus-hc-vol-01-(2022-edition)(mr),American Vampire Omnibus HC Vol 01 (2022 Edition)(Mr),https://organicpricedbooks.com/products/american-vampire-omnibus-vol-1-2022-edition-on-sale-10-04-2022,,,,,,,,,,,,,,American Vampire Omnibus Vol. 1 (2022 Edition),
https://www.instocktrades.com/products/jun227199/american-vampire-omnibus-hc-vol-02-(mr),American Vampire Omnibus HC Vol 02 (MR),https://organicpricedbooks.com/products/books-of-magic-omnibus-vol-3-the-sandman-universe-classics-on-sale-11-22-2022,,,,,,,,,,,,,,,
https://www.instocktrades.com/products/jul110284/american-vampire-tp-vol-01-(mr),American Vampire TP Vol 01 (MR),,,,,,,,,,,,,,,,
